scenario_id,industry,state,grid_factor,solar_irradiation,monthly_kwh,baseline_co2_kg,tariff_per_kwh,solar_percent,ev_percent,peak_shift_hours,solar_co2_saved,ev_co2_saved,peak_co2_saved,total_co2_saved_kg,new_monthly_co2_kg,cost_saved_rs_month,cost_saved_rs_year,reduction_percent
SIM_01426,cement,delhi,0.72,4.9,50304.19,36219.02,6.13,70.46,15.43,1.29,25353.31,982.84,934.24,30242.33,5976.69,267095.2,3205142.46,83.5
SIM_01427,plastics,jharkhand,0.89,4.6,6488.2,5774.5,7.93,3.51,8.42,3.12,200.46,73.63,359.93,645.68,5128.82,6859.3,82311.6,11.18
SIM_01428,plastics,chhattisgarh,0.92,4.9,25174.93,23160.94,8.0,8.35,25.44,4.03,2001.81,922.05,1866.4,5267.36,17893.58,74942.55,899310.57,22.74
SIM_01429,cement,kerala,0.42,4.2,33367.36,14014.29,5.67,15.88,25.03,6.29,2070.13,1489.06,1764.24,6064.76,7949.53,96693.22,1160318.67,43.28
SIM_01430,paper,madhya_pradesh,0.83,5.3,8349.18,6929.82,7.4,51.82,43.76,6.43,3932.23,545.84,891.39,5018.92,1910.9,66598.21,799178.47,72.42
SIM_01431,plastics,rajasthan,0.88,5.8,9227.19,8119.93,7.78,73.94,21.84,0.45,5683.95,211.15,72.38,5290.03,2829.9,62133.31,745599.69,65.15
SIM_01432,chemicals,haryana,0.8,5.1,11432.52,9146.02,7.77,6.7,0.92,7.42,652.73,15.9,1358.16,2462.71,6683.31,11128.98,133547.7,26.93
SIM_01433,auto_components,jharkhand,0.89,4.6,32032.85,28509.23,6.41,28.75,57.26,1.93,8113.96,1894.37,1101.99,10327.63,18181.6,166549.98,1998599.8,36.23
SIM_01434,cement,karnataka,0.62,5.3,40638.74,25196.02,7.42,63.49,45.88,3.13,17516.25,2553.43,1578.4,23960.69,1235.32,333879.51,4006554.09,95.1
SIM_01435,paper,uttar_pradesh,0.85,4.8,23126.72,19657.71,7.3,61.62,4.41,2.67,12355.79,167.48,1050.62,11459.17,8198.54,117923.58,1415082.91,58.29
SIM_01436,textile,chhattisgarh,0.92,4.9,10046.83,9243.08,8.03,72.51,42.94,3.59,6470.16,677.75,663.57,7529.61,1713.47,96933.13,1163197.51,81.46
SIM_01437,cement,maharashtra,0.79,5.1,61871.01,48878.1,6.93,2.52,57.69,7.11,1309.21,4445.79,6946.63,11400.05,37478.05,260766.44,3129197.28,23.32
SIM_01438,steel,jharkhand,0.89,4.6,34928.77,31086.61,6.51,11.16,12.66,2.25,3434.65,537.27,1400.52,6721.83,24364.78,58196.75,698361.04,21.62
SIM_01439,textile,karnataka,0.62,5.3,9972.79,6183.13,6.8,0.6,17.92,3.59,40.55,207.63,444.3,668.8,5514.33,11558.97,138707.67,10.82
SIM_01440,pharma,maharashtra,0.79,5.1,5156.43,4073.58,8.05,18.75,3.43,6.1,813.55,18.85,496.69,1309.83,2763.75,10789.01,129468.07,32.15
SIM_01441,pharma,gujarat,0.82,5.6,8031.62,6585.93,7.48,71.45,19.21,4.79,4610.15,245.55,630.86,5770.13,815.79,56789.4,681472.86,87.61
SIM_01442,it_services,andhra_pradesh,0.72,5.4,14423.06,10384.61,9.17,55.07,1.58,3.37,6347.89,22.25,700.07,7169.67,3214.94,84648.49,1015781.89,69.04
SIM_01443,pharma,punjab,0.76,5.0,13525.3,10279.23,7.39,30.01,42.1,3.6,3238.97,654.22,739.2,4589.88,5689.35,66931.99,803183.88,44.65
SIM_01444,chemicals,karnataka,0.62,5.3,23587.71,14624.38,8.0,77.19,53.53,1.22,10237.06,1378.56,357.19,11502.55,3121.83,197575.93,2370911.16,78.65
SIM_01445,paper,bihar,0.84,4.7,34002.54,28562.14,7.83,6.79,42.62,5.16,1949.45,2072.99,2947.19,6952.21,21609.93,137988.72,1655864.6,24.34
SIM_01446,steel,odisha,0.91,4.7,63158.67,57474.39,7.1,16.41,22.13,3.65,9477.88,2143.42,4193.34,16666.23,40808.16,205273.91,2463286.92,29.0
SIM_01447,cement,chhattisgarh,0.92,4.9,46988.6,43229.51,5.86,52.2,42.48,3.04,23355.8,2049.99,2624.38,24701.06,18528.45,270889.86,3250678.32,57.14
SIM_01448,steel,karnataka,0.62,5.3,28788.5,17848.87,5.92,79.48,19.63,7.3,12494.21,904.94,2605.68,15712.04,2136.83,168894.96,2026739.53,88.03
SIM_01449,food_processing,chhattisgarh,0.92,4.9,20853.84,19185.53,6.19,17.03,21.29,4.1,3382.47,598.42,1572.98,5243.52,13942.01,60104.45,721253.41,27.33
SIM_01450,it_services,maharashtra,0.79,5.1,12841.91,10145.11,9.33,26.32,33.33,3.18,2843.3,623.25,644.76,4357.1,5788.01,68247.94,818975.31,42.95
SIM_01451,auto_components,telangana,0.74,5.2,49920.54,36941.2,7.38,22.17,56.1,3.03,8845.37,4246.02,2237.6,16143.87,20797.33,308166.12,3697993.45,43.7
SIM_01452,cement,chhattisgarh,0.92,4.9,75459.31,69422.56,6.17,49.44,9.53,3.58,35527.04,936.13,4969.23,37701.43,31721.13,301645.67,3619748.07,54.31
SIM_01453,paper,uttar_pradesh,0.85,4.8,24641.08,20944.92,6.71,50.12,10.45,6.1,10708.32,396.79,2557.1,11952.45,8992.47,112063.05,1344756.63,57.07
SIM_01454,pharma,gujarat,0.82,5.6,25689.51,21065.4,8.22,56.72,56.77,7.36,13620.13,1366.56,3100.89,17657.95,3407.45,218392.4,2620708.83,83.82
SIM_01455,plastics,maharashtra,0.79,5.1,12111.42,9568.02,6.93,0.42,54.07,1.07,42.72,641.48,204.71,793.91,8774.11,34246.9,410962.85,8.3
SIM_01456,auto_components,delhi,0.72,4.9,11729.22,8445.04,8.22,8.93,7.93,4.49,780.65,161.55,757.91,1826.27,6618.77,19508.21,234098.53,21.63
SIM_01457,auto_components,gujarat,0.82,5.6,42633.15,34959.18,8.17,17.62,5.27,7.95,7021.81,290.92,5559.66,14594.65,20364.54,102059.45,1224713.43,41.75
SIM_01458,cement,odisha,0.91,4.7,71417.09,64989.55,7.22,59.41,53.69,7.38,38801.65,4941.54,9589.46,55969.6,9019.95,610582.92,7326994.99,86.12
SIM_01459,food_processing,bihar,0.84,4.7,6980.08,5863.27,6.03,40.97,50.44,2.71,2414.05,316.47,318.29,2440.25,3423.02,35043.89,420526.66,41.62
SIM_01460,it_services,odisha,0.91,4.7,12756.29,11608.22,8.43,11.33,14.45,1.07,1322.12,247.77,247.79,1778.17,9830.05,26978.97,323747.64,15.32
SIM_01461,paper,maharashtra,0.79,5.1,9225.98,7288.53,8.19,26.84,11.11,2.85,2083.22,171.18,415.85,2874.21,4414.32,31776.33,381316.0,39.43
SIM_01462,it_services,madhya_pradesh,0.83,5.3,12672.25,10517.96,8.15,70.97,45.75,2.97,7362.58,629.11,624.81,9436.97,1080.99,107714.27,1292571.22,89.72
SIM_01463,textile,jharkhand,0.89,4.6,9566.02,8513.75,7.37,8.85,19.62,5.02,745.79,283.02,854.93,1886.67,6627.08,24101.12,289213.41,22.16
SIM_01464,chemicals,andhra_pradesh,0.72,5.4,21019.58,15134.1,7.75,14.85,36.71,1.36,2494.07,714.65,411.92,3399.12,11734.98,63592.06,763104.66,22.46
SIM_01465,steel,punjab,0.76,5.0,19633.43,14921.41,7.62,14.07,10.18,0.12,2205.05,187.25,34.94,2266.34,12655.07,31751.0,381012.04,15.19
SIM_01466,textile,odisha,0.91,4.7,20034.7,18231.57,7.67,42.29,22.11,6.78,7748.3,690.01,2470.75,11998.09,6233.48,110683.81,1328205.69,65.81
SIM_01467,cement,karnataka,0.62,5.3,43982.03,27268.86,7.32,50.44,46.17,1.51,15061.07,2351.14,824.37,19629.28,7639.58,290156.05,3481872.56,71.98
SIM_01468,plastics,tamil_nadu,0.68,5.0,26518.9,18032.85,8.73,75.44,15.56,4.79,12623.0,451.15,1727.34,14546.54,3486.31,190417.54,2285010.46,80.67
SIM_01469,chemicals,bihar,0.84,4.7,36947.73,31036.09,8.64,65.77,22.07,6.05,20515.46,911.14,3753.96,26812.76,4223.33,271631.21,3259574.54,86.39
SIM_01470,textile,tamil_nadu,0.68,5.0,11586.56,7878.86,8.55,30.5,30.98,1.84,2522.95,343.81,290.39,2967.23,4911.63,49433.48,593201.72,37.66
SIM_01471,cement,haryana,0.8,5.1,39254.09,31403.27,7.13,70.45,17.8,0.9,21982.29,628.87,567.92,23231.78,8171.49,230470.36,2765644.31,73.98
SIM_01472,food_processing,chhattisgarh,0.92,4.9,17966.94,16529.59,6.06,24.19,33.96,4.09,4138.62,678.22,1351.11,5684.76,10844.82,68671.03,824052.31,34.39
SIM_01473,plastics,karnataka,0.62,5.3,12200.1,7564.06,8.67,41.32,53.22,5.94,3422.4,820.64,898.63,5582.89,1981.17,89779.69,1077356.29,73.81
SIM_01474,plastics,maharashtra,0.79,5.1,22231.04,17562.52,8.29,2.8,5.49,3.11,523.05,151.66,1093.49,1833.15,15729.37,16808.22,201698.63,10.44
SIM_01475,steel,punjab,0.76,5.0,20146.5,15311.34,7.34,8.54,37.29,7.11,1372.36,1162.63,2178.51,4701.97,10609.37,78742.25,944907.04,30.71
SIM_01476,food_processing,tamil_nadu,0.68,5.0,5722.55,3891.33,7.12,77.45,45.59,6.26,2723.93,323.5,487.09,3024.88,866.45,45679.6,548155.24,77.73
SIM_01477,auto_components,haryana,0.8,5.1,28608.45,22886.76,7.94,41.53,1.36,2.96,10123.04,63.72,1353.22,13560.4,9326.36,107818.73,1293824.73,59.25
SIM_01478,plastics,chhattisgarh,0.92,4.9,29070.2,26744.59,7.08,4.04,35.27,7.88,1117.71,1564.95,4212.49,6456.05,20288.53,107707.4,1292488.76,24.14
SIM_01479,auto_components,uttar_pradesh,0.85,4.8,25549.13,21716.76,6.56,33.18,34.67,7.96,7349.57,1130.26,3455.34,13718.25,7998.5,126020.34,1512244.13,63.17
SIM_01480,food_processing,chhattisgarh,0.92,4.9,17882.13,16451.56,7.12,22.47,6.76,6.21,3826.39,101.91,2044.18,6008.99,10442.57,40175.91,482110.9,36.53
SIM_01481,steel,madhya_pradesh,0.83,5.3,60844.7,50501.1,6.91,37.0,28.61,5.27,20458.33,1928.71,5319.25,31556.0,18945.1,286660.19,3439922.23,62.49
SIM_01482,cement,andhra_pradesh,0.72,5.4,78936.26,56834.11,6.54,52.04,7.35,1.86,32831.01,1022.6,2118.89,34951.18,21882.93,354448.04,4253376.42,61.5
SIM_01483,auto_components,rajasthan,0.88,5.8,9176.76,8075.55,8.14,14.5,39.31,0.53,1370.47,312.01,85.52,1868.23,6207.32,30209.62,362515.41,23.13
SIM_01484,plastics,jharkhand,0.89,4.6,13895.0,12366.55,7.33,21.41,20.28,3.95,2621.52,253.07,977.2,4120.8,8245.76,38134.14,457609.66,33.32
SIM_01485,textile,west_bengal,0.9,4.5,24459.64,22013.68,7.55,39.3,2.94,4.45,8434.4,72.28,1959.21,9720.23,12293.45,79708.33,956499.96,44.16
SIM_01486,auto_components,bihar,0.84,4.7,15136.87,12714.97,7.59,60.28,56.42,4.74,7703.12,1307.06,1205.63,11394.59,1320.38,143228.86,1718746.32,89.62
SIM_01487,cement,punjab,0.76,5.0,74160.05,56361.64,6.21,6.3,19.1,0.38,3728.95,1685.33,423.15,6477.27,49884.37,117321.76,1407861.08,11.49
SIM_01488,pharma,uttar_pradesh,0.85,4.8,22464.93,19095.19,7.27,10.35,42.32,4.12,2016.4,928.46,1574.31,3759.48,15335.71,71612.62,859351.45,19.69
SIM_01489,chemicals,jharkhand,0.89,4.6,31021.27,27608.93,6.77,70.54,25.11,7.51,19280.32,990.2,4144.73,23698.57,3910.35,211389.9,2536678.85,85.84
SIM_01490,steel,gujarat,0.82,5.6,23950.76,19639.62,6.29,22.74,12.64,5.97,5091.53,496.01,2344.56,8090.62,11549.0,70794.66,849535.89,41.2
SIM_01491,plastics,tamil_nadu,0.68,5.0,26544.95,18050.56,7.86,3.73,43.58,6.82,706.95,2029.59,2463.24,5037.75,13012.81,114698.72,1376384.59,27.91
SIM_01492,cement,gujarat,0.82,5.6,32462.28,26619.07,6.35,52.35,59.73,0.83,15886.87,3018.88,443.18,20850.7,5768.37,284305.72,3411668.67,78.33
SIM_01493,pharma,jharkhand,0.89,4.6,13001.42,11571.27,8.75,62.92,49.64,6.62,7208.07,764.16,1531.52,8695.66,2875.61,118042.3,1416507.57,75.15
SIM_01494,steel,rajasthan,0.88,5.8,37495.32,32995.88,7.23,10.03,39.76,1.6,3872.95,1637.82,1058.69,7042.56,25953.32,125201.03,1502412.37,21.34
SIM_01495,textile,chhattisgarh,0.92,4.9,11466.62,10549.29,7.35,47.93,6.75,3.14,5233.05,85.41,662.41,6251.38,4297.91,48270.77,579249.27,59.26
SIM_01496,food_processing,telangana,0.74,5.2,6315.0,4673.1,7.2,43.81,46.96,0.96,2211.17,295.99,89.88,2446.67,2226.44,36630.44,439565.28,52.36
SIM_01497,it_services,andhra_pradesh,0.72,5.4,13165.63,9479.25,7.78,71.86,53.8,5.02,6635.48,979.59,952.56,7703.51,1775.74,123323.11,1479877.28,81.27
SIM_01498,paper,tamil_nadu,0.68,5.0,14181.35,9643.32,6.98,30.73,27.27,6.99,3111.31,515.12,1348.61,5039.73,4603.58,60941.66,731299.89,52.26
SIM_01499,it_services,madhya_pradesh,0.83,5.3,9017.56,7484.57,9.26,34.6,15.12,3.82,2835.98,204.01,571.86,4339.79,3144.78,44440.97,533291.59,57.98
SIM_01500,cement,punjab,0.76,5.0,57945.35,44038.47,7.23,79.74,45.37,4.67,30826.93,4459.85,4111.47,36299.18,7739.28,531875.94,6382511.28,82.43
SIM_01501,textile,chhattisgarh,0.92,4.9,18378.22,16907.96,8.5,51.83,25.8,0.12,9070.06,731.83,40.75,9850.19,7057.77,125721.99,1508663.91,58.26
SIM_01502,textile,uttar_pradesh,0.85,4.8,13659.32,11610.42,8.46,65.13,3.74,5.17,7713.18,59.97,1201.33,10045.42,1564.99,83626.0,1003511.95,86.52
SIM_01503,chemicals,chhattisgarh,0.92,4.9,51705.82,47569.36,8.32,42.66,42.32,2.48,21004.62,2529.67,2356.95,26520.24,21049.11,340771.45,4089257.34,55.75
SIM_01504,textile,madhya_pradesh,0.83,5.3,9953.26,8261.21,7.91,31.82,21.46,4.97,2878.73,199.6,821.56,3694.57,4566.63,40460.0,485520.04,44.72
SIM_01505,pharma,delhi,0.72,4.9,32900.79,23688.57,7.5,74.43,49.31,3.91,16582.0,2505.35,1854.5,20490.61,3197.96,302761.14,3633133.68,86.5
SIM_01506,paper,rajasthan,0.88,5.8,24303.0,21386.64,7.1,24.92,58.29,6.62,6236.36,1729.83,2829.76,10119.45,11267.19,153018.55,1836222.62,47.32
SIM_01507,auto_components,haryana,0.8,5.1,20996.37,16797.1,7.11,20.55,59.62,5.15,3675.79,1463.96,1730.08,6576.74,10220.36,113909.98,1366919.75,39.15
SIM_01508,food_processing,andhra_pradesh,0.72,5.4,19279.1,13880.95,7.25,39.28,35.79,7.25,6052.96,979.85,2012.66,9297.63,4583.32,115590.42,1387085.03,66.98
SIM_01509,pharma,bihar,0.84,4.7,7577.27,6364.91,6.99,39.29,11.48,4.56,2512.96,81.48,580.88,2740.37,3624.54,26733.13,320797.57,43.05
SIM_01510,plastics,karnataka,0.62,5.3,28894.28,17914.45,7.64,36.55,57.27,4.77,7169.44,2862.36,1710.57,11155.24,6759.21,227686.78,2732241.4,62.27
SIM_01511,textile,haryana,0.8,5.1,19437.17,15549.73,8.4,8.19,27.59,2.97,1356.58,597.51,923.35,3140.24,12409.49,48421.63,581059.57,20.19
SIM_01512,auto_components,andhra_pradesh,0.72,5.4,10230.59,7366.02,6.86,71.03,59.08,6.18,5156.22,1095.91,909.96,5886.95,1479.07,106059.02,1272708.29,79.92
SIM_01513,paper,madhya_pradesh,0.83,5.3,35406.77,29387.62,6.53,68.29,41.2,7.31,20571.34,2027.84,4293.53,19920.48,9467.14,280227.07,3362724.84,67.79
SIM_01514,paper,bihar,0.84,4.7,27391.94,23009.23,6.37,13.84,8.07,0.27,3199.26,292.69,125.43,3663.66,19345.57,40291.46,483497.5,15.92
SIM_01515,cement,karnataka,0.62,5.3,33829.93,20974.56,7.43,67.25,26.18,5.51,14682.19,1128.72,2311.81,19108.81,1865.75,236770.38,2841244.57,91.1
SIM_01516,plastics,jharkhand,0.89,4.6,5408.43,4813.5,7.29,77.52,29.68,3.08,3369.45,189.85,296.22,3388.9,1424.6,38923.91,467086.9,70.4
SIM_01517,cement,jharkhand,0.89,4.6,71710.52,63822.37,5.86,11.82,35.64,3.65,7467.09,2799.86,4661.46,13297.23,50525.13,214706.51,2576478.17,20.83
SIM_01518,chemicals,chhattisgarh,0.92,4.9,20074.63,18468.66,8.9,50.79,0.2,7.94,9709.33,4.8,2934.53,13453.9,5014.75,102733.16,1232797.91,72.85
SIM_01519,it_services,west_bengal,0.9,4.5,2165.7,1949.13,7.71,12.96,51.6,2.63,246.23,219.62,102.43,571.64,1377.49,14725.69,176708.32,29.33
SIM_01520,paper,madhya_pradesh,0.83,5.3,22866.92,18979.54,7.2,63.73,19.81,4.59,13245.66,578.23,1742.46,15620.86,3358.69,150384.84,1804618.12,82.3
SIM_01521,steel,andhra_pradesh,0.72,5.4,44306.29,31900.53,6.1,66.99,46.16,2.79,22330.37,2449.99,1780.07,30861.3,1039.23,315190.13,3782281.51,96.74
SIM_01522,textile,punjab,0.76,5.0,12704.54,9655.45,8.1,67.65,56.09,5.54,6758.81,976.65,1070.12,7156.8,2498.64,125188.97,1502267.67,74.12
SIM_01523,pharma,madhya_pradesh,0.83,5.3,34624.28,28738.15,7.98,46.01,34.71,5.28,14477.17,2013.47,3036.09,18527.18,10210.97,255521.6,3066259.19,64.47
SIM_01524,food_processing,delhi,0.72,4.9,25824.85,18593.89,6.25,62.36,20.69,1.56,12000.51,935.5,579.12,14393.67,4200.22,151995.03,1823940.35,77.41
SIM_01525,auto_components,karnataka,0.62,5.3,10552.35,6542.46,7.04,20.01,6.9,0.64,1433.63,138.31,83.65,1818.43,4724.03,22990.29,275883.51,27.79
SIM_01526,food_processing,jharkhand,0.89,4.6,9628.38,8569.26,7.95,39.54,45.7,4.51,3354.35,684.93,772.88,4677.79,3891.47,70255.14,843061.63,54.59
SIM_01527,food_processing,bihar,0.84,4.7,28604.43,24027.72,8.01,14.1,31.02,3.38,3403.96,926.81,1625.26,6660.24,17367.48,86973.81,1043685.73,27.72
SIM_01528,auto_components,jharkhand,0.89,4.6,44112.23,39259.89,6.23,54.27,46.05,1.15,21093.95,1853.45,902.34,23406.09,15853.8,252931.24,3035174.83,59.62
SIM_01529,textile,andhra_pradesh,0.72,5.4,22474.15,16181.39,6.88,74.78,44.66,6.61,11326.97,1664.58,2140.68,14906.94,1274.45,196785.06,2361420.66,92.12
SIM_01530,auto_components,chhattisgarh,0.92,4.9,19176.52,17642.4,7.1,65.53,3.36,6.3,11965.34,58.72,2223.81,15305.12,2337.28,100857.27,1210287.23,86.75
SIM_01531,chemicals,rajasthan,0.88,5.8,47893.78,42146.53,8.09,6.34,0.84,2.84,3126.89,48.17,2393.09,5976.62,36169.9,38005.11,456061.29,14.18
SIM_01532,auto_components,rajasthan,0.88,5.8,13727.9,12080.55,6.92,23.81,24.08,1.85,3364.7,403.78,447.06,3940.77,8139.78,49908.97,598907.6,32.62
SIM_01533,auto_components,kerala,0.42,4.2,14556.01,6113.52,6.69,36.77,44.39,3.07,2090.81,1389.23,375.48,3592.21,2521.31,92531.16,1110373.9,58.76
SIM_01534,textile,haryana,0.8,5.1,14841.85,11873.48,6.74,57.62,10.67,6.38,7285.91,228.85,1515.42,7895.86,3977.62,77175.58,926107.0,66.5
SIM_01535,chemicals,bihar,0.84,4.7,49319.58,41428.45,7.02,3.17,26.66,3.95,1320.04,1286.88,3268.95,5673.01,35755.43,88502.11,1062025.34,13.69
SIM_01536,food_processing,tamil_nadu,0.68,5.0,28079.89,19094.32,6.09,35.1,44.8,5.76,7038.06,1916.87,2200.49,9599.73,9494.6,161452.24,1937426.84,50.28
SIM_01537,auto_components,uttar_pradesh,0.85,4.8,32458.14,27589.42,6.21,70.82,2.47,5.83,19312.6,124.91,3216.65,20729.06,6860.36,154921.33,1859055.91,75.13
SIM_01538,plastics,karnataka,0.62,5.3,24393.04,15123.68,8.62,4.64,22.2,3.43,768.97,679.17,1036.72,2563.73,12559.95,46579.49,558953.9,16.95
SIM_01539,cement,karnataka,0.62,5.3,22263.16,13803.16,6.17,54.43,9.24,1.69,8226.66,261.97,467.66,8705.3,5097.86,95421.97,1145063.67,63.07
SIM_01540,it_services,tamil_nadu,0.68,5.0,6749.2,4589.45,10.01,73.74,31.24,3.27,3212.62,365.13,300.11,3793.1,796.35,66258.51,795102.17,82.65
SIM_01541,textile,uttar_pradesh,0.85,4.8,15225.38,12941.58,7.86,10.31,47.74,1.93,1361.43,745.59,498.54,2832.67,10108.91,54401.37,652816.48,21.89
SIM_01542,auto_components,jharkhand,0.89,4.6,15844.23,14101.36,7.76,5.73,7.55,0.16,799.72,142.35,46.18,873.6,13227.76,15044.97,180539.68,6.2
SIM_01543,cement,bihar,0.84,4.7,50671.5,42564.06,6.16,67.69,56.69,2.38,28955.25,2479.45,2023.81,33060.73,9503.33,350402.02,4204824.25,77.67
SIM_01544,steel,haryana,0.8,5.1,18003.85,14403.08,6.8,14.36,9.41,7.98,2202.17,209.04,2297.76,4318.6,10084.49,35520.59,426247.09,29.98
SIM_01545,paper,rajasthan,0.88,5.8,12909.22,11360.12,7.15,60.33,17.09,2.94,7952.08,317.77,667.03,10286.17,1073.94,83850.25,1006203.01,90.55
SIM_01546,pharma,gujarat,0.82,5.6,31633.83,25939.74,8.2,9.56,46.9,7.79,2826.13,2227.61,4039.6,9045.76,16893.98,158602.06,1903224.75,34.87
SIM_01547,plastics,delhi,0.72,4.9,10862.47,7820.98,8.5,40.07,39.59,2.59,3243.15,698.68,404.95,4424.98,3396.0,74369.23,892430.8,56.58
SIM_01548,chemicals,telangana,0.74,5.2,17959.33,13289.91,8.21,52.74,59.32,4.21,7570.35,1109.98,1119.04,10160.58,3129.32,143448.45,1721381.36,76.45
SIM_01549,paper,delhi,0.72,4.9,9265.03,6670.82,6.39,57.09,43.81,0.51,3941.33,553.56,68.1,4325.96,2344.85,62586.83,751041.98,64.85
SIM_01550,it_services,madhya_pradesh,0.83,5.3,9095.9,7549.59,10.09,30.41,57.27,6.38,2513.95,847.39,963.73,4265.73,3283.86,79377.37,952528.49,56.5
SIM_01551,paper,telangana,0.74,5.2,32521.06,24065.58,6.8,4.97,48.48,3.47,1290.96,1472.05,1671.0,4494.79,19570.79,90411.11,1084933.29,18.68
SIM_01552,cement,karnataka,0.62,5.3,60785.17,37686.81,7.04,79.46,33.36,4.91,26380.77,2025.45,3700.23,32391.95,5294.86,406364.94,4876379.32,85.95
SIM_01553,it_services,karnataka,0.62,5.3,10672.91,6617.2,7.84,52.32,19.84,6.61,3791.23,406.55,874.34,5804.54,812.66,70134.18,841610.19,87.72
SIM_01554,paper,chhattisgarh,0.92,4.9,35664.2,32811.07,7.0,63.49,33.1,7.95,21562.52,1849.17,5218.6,27344.24,5466.82,281649.55,3379794.65,83.34
SIM_01555,textile,haryana,0.8,5.1,21401.72,17121.37,6.68,29.37,42.58,7.41,5354.66,1548.55,2537.57,8537.81,8583.56,132131.75,1585581.05,49.87
SIM_01556,chemicals,punjab,0.76,5.0,39272.44,29847.06,6.78,40.49,25.45,2.72,12689.18,1330.96,1621.91,15083.77,14763.29,185275.07,2223300.89,50.54
SIM_01557,plastics,west_bengal,0.9,4.5,18096.16,16286.54,7.75,10.47,30.07,7.81,1662.34,825.86,2543.08,5476.32,10810.22,67326.67,807920.01,33.62
SIM_01558,cement,uttar_pradesh,0.85,4.8,43085.32,36622.52,6.76,2.03,39.86,7.89,758.85,1511.37,5779.84,7119.77,29502.75,101756.57,1221078.81,19.44
SIM_01559,plastics,west_bengal,0.9,4.5,17397.25,15657.53,7.71,76.38,41.7,7.32,10960.27,719.69,2292.39,12451.04,3206.49,140268.15,1683217.76,79.52
SIM_01560,steel,bihar,0.84,4.7,53181.74,44672.67,6.58,16.31,47.43,4.91,7321.45,2675.1,4387.17,14230.48,30442.18,211658.21,2539898.57,31.86
SIM_01561,plastics,tamil_nadu,0.68,5.0,12851.65,8739.12,6.98,60.61,48.4,6.21,5561.85,1095.63,1085.11,7443.84,1295.28,113295.37,1359544.39,85.18
SIM_01562,pharma,kerala,0.42,4.2,14661.58,6157.86,7.57,26.8,1.77,0.69,1535.01,47.86,85.45,1832.0,4325.87,30121.18,361454.11,29.75
SIM_01563,cement,west_bengal,0.9,4.5,89295.6,80366.04,6.19,67.56,7.07,4.21,52936.7,901.41,6767.04,67691.49,12674.55,428882.0,5146583.96,84.23
SIM_01564,food_processing,uttar_pradesh,0.85,4.8,9989.8,8491.33,8.01,50.61,50.11,0.42,4383.46,697.1,70.53,5467.82,3023.51,79321.11,951853.28,64.39
SIM_01565,textile,karnataka,0.62,5.3,8180.18,5071.71,6.38,45.57,31.2,0.12,2530.91,310.22,11.88,2495.92,2575.79,40511.73,486140.77,49.21
SIM_01566,pharma,gujarat,0.82,5.6,10993.77,9014.9,8.58,74.69,39.55,3.97,6310.43,634.69,715.17,8544.08,470.81,101928.8,1223145.6,94.78
SIM_01567,steel,maharashtra,0.79,5.1,72322.54,57134.81,6.32,8.29,21.21,7.32,5044.24,1992.51,8365.09,15597.63,41537.17,163930.64,1967167.71,27.3
SIM_01568,auto_components,andhra_pradesh,0.72,5.4,32298.72,23255.08,6.79,49.03,36.36,1.2,12656.3,1196.75,558.8,13044.48,10210.6,180283.35,2163400.19,56.09
SIM_01569,pharma,uttar_pradesh,0.85,4.8,28566.3,24281.36,7.33,70.23,32.86,4.11,16996.95,1249.15,1996.95,19939.89,4341.47,219531.96,2634383.54,82.12
SIM_01570,paper,andhra_pradesh,0.72,5.4,7438.23,5355.52,6.97,22.05,23.92,4.03,1310.85,191.32,431.51,1956.91,3398.62,23417.48,281009.74,36.54
SIM_01571,it_services,karnataka,0.62,5.3,4546.25,2818.67,9.85,40.95,15.19,1.74,1263.85,144.93,98.26,1433.56,1385.11,27287.06,327444.74,50.86
SIM_01572,auto_components,andhra_pradesh,0.72,5.4,30650.38,22068.27,7.53,71.44,8.43,5.69,15447.79,288.52,2509.72,18061.67,4006.6,183769.18,2205230.15,81.84
SIM_01573,paper,rajasthan,0.88,5.8,31859.38,28036.26,6.3,41.1,5.88,0.18,13481.55,246.79,103.7,14550.86,13485.4,110380.97,1324571.62,51.9
SIM_01574,chemicals,madhya_pradesh,0.83,5.3,31427.43,26084.77,8.48,65.83,23.77,7.35,18259.34,931.28,3832.6,20141.61,5943.16,248161.5,2977937.99,77.22
SIM_01575,chemicals,maharashtra,0.79,5.1,12306.03,9721.76,8.89,64.64,24.33,1.77,6692.32,291.05,344.07,7045.31,2676.45,91633.93,1099607.16,72.47
SIM_01576,food_processing,chhattisgarh,0.92,4.9,4257.55,3916.95,6.86,7.15,2.96,2.7,289.85,15.25,211.13,528.7,3388.25,3504.05,42048.54,13.5
SIM_01577,plastics,jharkhand,0.89,4.6,30315.26,26980.59,8.58,5.73,0.67,5.92,1531.08,29.75,3195.17,5113.71,21866.87,25649.21,307790.57,18.95
SIM_01578,auto_components,madhya_pradesh,0.83,5.3,49281.71,40903.82,7.63,58.59,36.19,7.73,26242.19,1550.89,6320.31,30838.68,10065.14,341467.86,4097614.27,75.39
SIM_01579,chemicals,andhra_pradesh,0.72,5.4,11089.18,7984.21,8.78,59.31,42.28,1.61,5256.64,545.03,256.83,5362.55,2621.66,92022.98,1104275.74,67.16
